,t,o,h,l,c,v,n,vw,ln(n),ln(v)
0,2022-10-31T04:00:00Z,13.15,13.51,13.14,13.37,54281922,128177,13.383706,11.7611674,17.8097018
1,2022-11-01T04:00:00Z,13.57,13.645,13.155,13.4,47347571,116629,13.365183,11.66675324,17.67302608
2,2022-11-02T04:00:00Z,13.215,13.67,13.06,13.06,72147228,163799,13.331023,12.00639535,18.09421942
3,2022-11-03T04:00:00Z,12.81,13.46,12.77,13.26,58743567,147382,13.278939,11.90078313,17.88869221
4,2022-11-04T04:00:00Z,13.57,13.77,13.27,13.51,61285121,153492,13.473801,11.94140373,17.93104765
5,2022-11-07T05:00:00Z,13.61,13.76,13.37,13.7,47913677,115664,13.594952,11.65844472,17.68491155
6,2022-11-08T05:00:00Z,13.78,13.8,13.51,13.72,52208957,132838,13.665311,11.79688562,17.77076463
7,2022-11-09T05:00:00Z,13.57,13.7,13.28,13.31,73885957,147910,13.406357,11.90435926,18.11803334
8,2022-11-10T05:00:00Z,13.69,14.36,13.67,14.18,75320505,185027,14.099355,12.12825704,18.13726297
9,2022-11-11T05:00:00Z,14.26,14.666,14.2,14.5,59914209,158101,14.488294,11.97098935,17.90842425
10,2022-11-14T05:00:00Z,14.23,14.35,14.06,14.06,57495822,140937,14.226456,11.85606826,17.86722284
11,2022-11-15T05:00:00Z,14.29,14.58,14.2,14.3,61294464,152048,14.360989,11.93195154,17.93120009
12,2022-11-16T05:00:00Z,14.1,14.165,13.84,13.9,46928240,127308,13.969879,11.75436463,17.66413018
13,2022-11-17T05:00:00Z,13.66,13.91,13.55,13.91,53988251,112185,13.746482,11.62790457,17.80427701
14,2022-11-18T05:00:00Z,14.08,14.13,13.8201,13.99,36941159,90162,13.956833,11.40936333,17.42483691
15,2022-11-21T05:00:00Z,13.86,14.0399,13.66,13.95,33874318,98437,13.915435,11.49717203,17.3381677
16,2022-11-22T05:00:00Z,14.045,14.15,13.9836,14.07,28627843,72086,14.062417,11.18561513,17.16989033
17,2022-11-23T05:00:00Z,14,14.06,13.85,14.03,25831056,73033,13.981271,11.19866667,17.06708805
18,2022-11-25T05:00:00Z,13.96,14.11,13.9,14.08,12980862,37012,14.043537,10.51899746,16.37898668
19,2022-11-28T05:00:00Z,13.94,13.96,13.7,13.73,35234824,102185,13.769199,11.53454017,17.37754547
20,2022-11-29T05:00:00Z,13.85,13.9,13.71,13.75,28227594,80575,13.778807,11.29694371,17.15581057
21,2022-11-30T05:00:00Z,13.78,13.95,13.45,13.9,61062185,112348,13.73959,11.62935648,17.92740333
22,2022-12-01T05:00:00Z,14.09,14.36,14,14.08,45172842,122652,14.136665,11.71710636,17.62600662
23,2022-12-02T05:00:00Z,13.84,13.9672,13.75,13.86,42279393,103318,13.857375,11.54556689,17.55981036
24,2022-12-05T05:00:00Z,13.75,13.7699,13.37,13.38,39573754,110929,13.51434,11.61664564,17.49367668
25,2022-12-06T05:00:00Z,13.42,13.565,13.06,13.28,39959045,105883,13.223686,11.57008999,17.50336561
26,2022-12-07T05:00:00Z,13.2,13.42,13.09,13.1,36458601,93270,13.223605,11.44325379,17.41168796
27,2022-12-08T05:00:00Z,13.2,13.26,13.07,13.12,32350166,91850,13.147528,11.42791209,17.29212971
28,2022-12-09T05:00:00Z,13.04,13.36,13.04,13.18,41520974,83524,13.224006,11.33288929,17.54170926
29,2022-12-12T05:00:00Z,13.2,13.47,13.1,13.46,35407754,91222,13.292672,11.42105138,17.38244139
30,2022-12-13T05:00:00Z,13.78,13.92,13.37,13.57,57418226,145742,13.578301,11.88959321,17.86587234
31,2022-12-14T05:00:00Z,13.57,13.775,13.36,13.48,50082631,111255,13.593753,11.61958014,17.72918482
32,2022-12-15T05:00:00Z,13.23,13.26,12.95,13.03,55517784,125908,13.083521,11.74330676,17.83221396
33,2022-12-16T05:00:00Z,12.77,12.82,12.08,12.12,118016192,232957,12.282394,12.35860917,18.58633239
34,2022-12-19T05:00:00Z,12.12,12.17,11.54,11.69,87956737,234039,11.722494,12.36324305,18.29235563
35,2022-12-20T05:00:00Z,11.65,11.68,11.12,11.47,82014877,170662,11.473238,12.04744027,18.22241122
36,2022-12-21T05:00:00Z,11.61,11.79,11.55,11.78,49120735,115456,11.705619,11.65664478,17.70979181
37,2022-12-22T05:00:00Z,11.535,11.54,11.1,11.31,74979899,164344,11.253725,12.00971707,18.13273062
38,2022-12-23T05:00:00Z,11.27,11.4,11.22,11.36,38139698,94540,11.321429,11.4567783,17.45676624
